Year,Month,Type,Date, Amount (USD) ,Description
2025,April,Withdrawals / Debits,1-Apr, $350.34 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,April,Withdrawals / Debits,8-Apr, $977.22 ,WORLDPAY ACH BILLING 0SW119 ROYALTY BANQUET HALL I 040825
2025,April,Withdrawals / Debits,15-Apr, $619.72 ,IL DEPT OF REVEN EDI EDI PYMNTS 00002069418928 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250331*T*61972  041525
2025,April,Withdrawals / Debits,15-Apr," $2,768.50 ",IRS USATAXPYMT 270550513421464 ROYALTY BANQUET HALL I 041525
2025,April,Withdrawals / Debits,21-Apr," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01117609066
2025,April,Withdrawals / Debits,23-Apr," $2,667.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00001252637616 ROYALTY BANQUET HALL I TXP*16943775*0411*20250331*T*266700  042325
2025,April,Withdrawals / Debits,25-Apr," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01119033863
2025,April,Deposits / Credits,3-Apr," $2,273.17 ",DEPOSIT
2025,April,Deposits / Credits,11-Apr, $530.10 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
041225"
2025,April,Deposits / Credits,14-Apr, $4.40 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
041325"
2025,April,Deposits / Credits,21-Apr, $30.80 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042025"
2025,April,Deposits / Credits,21-Apr," $1,848.40 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042125"
2025,April,Deposits / Credits,22-Apr," $7,330.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042325"
2025,April,Deposits / Credits,24-Apr, $9.40 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042525"
